Platform,Genre,NA_Sales,JP_Sales,Rating,Critic_Score_Class
2.0,3.0,0.91,1.03,1.0,2.0
2.0,3.0,0.55,1.93,1.0,2.0
8.0,7.0,1.69,0.14,4.0,2.0
8.0,8.0,0.88,0.88,4.0,1.0
15.0,7.0,1.99,0.03,4.0,2.0
7.0,2.0,2.17,0.55,6.0,0.0
7.0,10.0,2.5,0.01,1.0,2.0
5.0,9.0,1.72,0.0,6.0,1.0
12.0,0.0,1.8,0.0,2.0,1.0
2.0,0.0,1.75,0.0,2.0,1.0
15.0,8.0,1.89,0.04,4.0,2.0
15.0,0.0,1.91,0.0,2.0,1.0
15.0,7.0,1.94,0.03,4.0,2.0
15.0,0.0,1.95,0.02,4.0,2.0
8.0,1.0,1.29,0.06,4.0,2.0
14.0,0.0,1.85,0.0,6.0,2.0
9.0,10.0,0.62,0.12,1.0,2.0
15.0,10.0,2.61,0.01,1.0,2.0
8.0,8.0,1.4,0.08,4.0,2.0
15.0,8.0,1.38,0.02,4.0,2.0
12.0,4.0,2.04,0.12,1.0,1.0
7.0,2.0,1.15,0.76,6.0,1.0
5.0,3.0,1.67,0.0,6.0,2.0
7.0,10.0,0.12,1.16,1.0,2.0
7.0,0.0,1.36,0.64,4.0,2.0
9.0,0.0,1.02,0.05,4.0,2.0
5.0,7.0,1.59,0.0,6.0,2.0
16.0,8.0,1.85,0.04,4.0,2.0
7.0,4.0,1.04,0.06,1.0,0.0
7.0,0.0,1.36,0.04,4.0,2.0
8.0,8.0,1.33,0.08,4.0,2.0
7.0,8.0,2.22,0.06,4.0,2.0
15.0,2.0,1.83,0.15,6.0,2.0
3.0,5.0,2.07,0.05,1.0,1.0
8.0,0.0,1.76,0.12,6.0,2.0
16.0,8.0,1.88,0.0,4.0,1.0
2.0,4.0,1.55,1.19,1.0,1.0
15.0,7.0,1.83,0.03,4.0,2.0
7.0,3.0,1.54,0.0,1.0,1.0
7.0,10.0,0.08,1.13,1.0,2.0
15.0,10.0,1.75,0.0,2.0,0.0
7.0,10.0,0.99,1.38,1.0,2.0
12.0,9.0,1.41,0.05,1.0,0.0
12.0,5.0,0.86,0.73,2.0,2.0
7.0,8.0,1.51,0.01,6.0,1.0
6.0,8.0,2.03,0.02,6.0,2.0
9.0,2.0,1.55,0.0,4.0,2.0
15.0,10.0,2.53,0.0,1.0,2.0
14.0,7.0,2.09,0.03,6.0,2.0
9.0,0.0,1.07,0.06,4.0,2.0
8.0,2.0,1.98,0.0,4.0,2.0
15.0,10.0,2.52,0.0,1.0,2.0
15.0,8.0,1.65,0.05,4.0,2.0
4.0,8.0,1.96,0.1,6.0,2.0
8.0,0.0,1.87,0.11,4.0,2.0
8.0,8.0,1.28,0.07,4.0,1.0
9.0,0.0,1.29,0.07,6.0,2.0
7.0,10.0,2.19,0.0,1.0,2.0
7.0,4.0,1.68,0.0,6.0,2.0
8.0,8.0,1.46,0.09,4.0,2.0
8.0,6.0,1.05,0.03,2.0,2.0
12.0,0.0,1.35,0.0,2.0,2.0
5.0,8.0,0.89,0.0,4.0,2.0
7.0,9.0,1.41,0.0,6.0,2.0
15.0,0.0,1.74,0.0,6.0,1.0
15.0,0.0,1.25,0.07,4.0,2.0
2.0,4.0,1.45,1.1,1.0,2.0
8.0,2.0,1.2,0.17,6.0,1.0
12.0,4.0,1.21,0.04,1.0,0.0
15.0,1.0,1.53,0.02,4.0,2.0
3.0,0.0,1.75,0.33,1.0,2.0
7.0,0.0,0.99,1.09,4.0,2.0
15.0,8.0,1.49,0.02,6.0,2.0
15.0,10.0,2.42,0.0,1.0,1.0
7.0,0.0,1.85,0.01,2.0,2.0
9.0,8.0,0.89,0.08,4.0,1.0
15.0,10.0,2.38,0.0,1.0,2.0
7.0,6.0,1.23,0.0,6.0,2.0
2.0,5.0,0.28,0.68,2.0,2.0
2.0,5.0,1.63,0.35,1.0,1.0
7.0,8.0,1.48,0.01,6.0,1.0
6.0,8.0,1.44,0.0,6.0,2.0
15.0,10.0,1.47,0.0,6.0,2.0
14.0,7.0,1.99,0.0,4.0,2.0
15.0,3.0,1.78,0.0,6.0,2.0
7.0,0.0,1.15,0.0,6.0,2.0
8.0,6.0,0.69,0.04,1.0,2.0
10.0,8.0,0.86,0.01,6.0,1.0
8.0,7.0,0.78,0.89,6.0,1.0
7.0,6.0,2.0,0.02,6.0,1.0
15.0,11.0,1.55,0.04,6.0,2.0
15.0,10.0,2.32,0.01,1.0,2.0
7.0,10.0,2.15,0.0,1.0,2.0
15.0,10.0,0.59,0.01,1.0,2.0
15.0,8.0,1.56,0.04,4.0,1.0
7.0,0.0,0.9,0.04,1.0,1.0
8.0,0.0,1.7,0.06,4.0,2.0
15.0,0.0,1.53,0.0,2.0,2.0
7.0,10.0,2.03,0.0,1.0,2.0
8.0,10.0,0.49,0.04,1.0,2.0
12.0,10.0,1.05,0.24,2.0,1.0
2.0,9.0,0.62,0.96,1.0,1.0
